KNOT_ID,Activity,R,A,C,I,Notes
KNOT-08-30-001,Jack point location definition,STK_GSE,STK_SE,STK_SAF;STK_MRO,STK_CERT;STK_CM,Requires structural team input
KNOT-08-30-001,Load capacity analysis,STK_SE,STK_GSE,STK_SAF,STK_CERT;STK_TEST,FEA by structures team
KNOT-08-30-001,Adapter geometry design,STK_GSE,STK_GSE,STK_SE;STK_MRO,STK_CM,Maintainability input critical
KNOT-08-30-001,Hazard analysis (jacking),STK_SAF,STK_SAF,STK_GSE;STK_MRO,STK_CERT;STK_SE,FMEA methodology
KNOT-08-30-001,Publication (DM creation),STK_CM,STK_CM,STK_GSE,STK_MRO;STK_CERT,BREX validation required
KNOT-08-30-002,Performance requirements definition,STK_GSE,STK_SE,STK_TEST;STK_CERT,STK_DATA;STK_CM,Certification basis input needed
KNOT-08-30-002,Uncertainty analysis,STK_SE,STK_SE,STK_GSE;STK_DATA,STK_CERT;STK_TEST,Monte Carlo methodology
KNOT-08-30-002,Acceptance test procedure,STK_TEST,STK_GSE,STK_SE;STK_CERT,STK_MRO;STK_CM,Calibration chain definition
KNOT-08-30-002,Equipment selection,STK_GSE,STK_GSE,STK_TEST;STK_MRO,STK_CM;STK_PMO,Procurement coordination
KNOT-08-30-002,Publication (DM creation),STK_CM,STK_CM,STK_GSE;STK_TEST,STK_MRO;STK_CERT,BREX validation required
KNOT-08-30-003,Algorithm requirements,STK_SE,STK_SE,STK_GSE;STK_DATA,STK_CERT;STK_TEST,ATA 28 coordination
KNOT-08-30-003,Thermodynamic modeling,STK_SE,STK_SE,STK_DATA,STK_GSE;STK_TEST,LHâ‚‚ properties expertise
KNOT-08-30-003,Uncertainty propagation,STK_SE,STK_SE,STK_DATA;STK_TEST,STK_CERT;STK_GSE,Statistical methods
KNOT-08-30-003,Validation test planning,STK_TEST,STK_SE,STK_GSE;STK_DATA,STK_CERT;STK_CM,Ground test coordination
KNOT-08-30-003,Publication (DM creation),STK_CM,STK_CM,STK_SE;STK_GSE,STK_MRO;STK_TEST,BREX validation required
KNOT-08-30-004,Material requirements,STK_GSE,STK_GSE,STK_SE;STK_MRO,STK_CM;STK_SAF,Composite compatibility critical
KNOT-08-30-004,Contact stress analysis,STK_SE,STK_GSE,STK_SAF,STK_MRO;STK_TEST,Airframe damage prevention
KNOT-08-30-004,Qualification testing,STK_TEST,STK_GSE,STK_SE;STK_MRO,STK_CM;STK_CERT,Lifecycle simulation
KNOT-08-30-004,Inspection criteria definition,STK_MRO,STK_GSE,STK_TEST;STK_SAF,STK_CM;STK_SE,Operational feedback loop
KNOT-08-30-004,Publication (DM creation),STK_CM,STK_CM,STK_GSE;STK_MRO,STK_TEST;STK_SAF,BREX validation required
KNOT-08-30-005,Interface requirements,STK_DATA,STK_SE,STK_GSE;STK_CY,STK_CM;STK_CERT,Security review required
KNOT-08-30-005,Protocol specification,STK_DATA,STK_DATA,STK_GSE;STK_CY,STK_SE;STK_CM,ATA 96 alignment
KNOT-08-30-005,Security analysis,STK_CY,STK_DATA,STK_SAF,STK_SE;STK_CERT,Tamper detection focus
KNOT-08-30-005,Integration testing,STK_TEST,STK_DATA,STK_GSE;STK_CY,STK_CM;STK_CERT,End-to-end validation
KNOT-08-30-005,Publication (DM creation),STK_CM,STK_CM,STK_DATA;STK_GSE,STK_MRO;STK_CY,BREX validation required
KNOT-08-30-006,Interlock requirements,STK_SAF,STK_SAF,STK_GSE;STK_SE,STK_CERT;STK_MRO,Safety-critical
KNOT-08-30-006,FMEA development,STK_SAF,STK_SAF,STK_GSE;STK_SE,STK_CERT;STK_TEST,All failure modes
KNOT-08-30-006,Sensor interface design,STK_GSE,STK_SAF,STK_SE;STK_DATA,STK_TEST;STK_CM,Redundancy architecture
KNOT-08-30-006,Functional testing,STK_TEST,STK_SAF,STK_GSE;STK_SE,STK_CERT;STK_MRO,Trip condition validation
KNOT-08-30-006,Publication (DM creation),STK_CM,STK_CM,STK_SAF;STK_GSE,STK_MRO;STK_CERT,BREX validation required
ALL,KNOT closure approval,STK_GSE,STK_SE,STK_SAF;STK_CERT,STK_PMO;STK_CM,Evidence pack review
ALL,TT distribution calculation,STK_PMO,STK_SE,STK_DATA,ALL,Formula application
ALL,Ledger update,STK_DATA,STK_PMO,STK_CM,ALL,AWARDS_TT.csv population
