KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Title,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,STATUS_LEGEND:  ðŸ”µ GENERATED | âšª PLANNED | ðŸŸ¢ APPROVED | ðŸ”´ BLOCKED,Effort_Predicted,Priority,REC,Origin,Modification_Type,Related_TBD,Spawned_By,Notes
ðŸ”µ KNU-00-00-001-REQ-001,KNOT-00-00-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Program Glossary Requirements,All novel Q100 terms defined with source references,Review,STK_CM,2026-02-28,GENERATED,8,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
ðŸ”µ KNU-00-00-001-ICD-001,KNOT-00-00-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Terminology Database Schema,Schema supports versioning and cross-references,Review,STK_DATA,2026-03-15,GENERATED,5,HIGH,LC04,BASELINE,NEW,,"TBD-00-003;TBD-00-002;TBD-00-006","Baseline ICD; subject to modifications by TBD-00-003 (term_type), TBD-00-002 (API), TBD-00-006 (DPP)"
âšª KNU-00-00-001-ANA-001,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Terminology Gap Analysis,All gaps vs aerospace standards identified,Review,STK_SE,2026-02-15,PLANNED,3,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
âšª KNU-00-00-001-CM-001,KNOT-00-00-001,CM,SSOT,../LC08_CONFIGURATION/,Terminology Change Control Process,Process documented and approved,Review,STK_CM,2026-03-20,PLANNED,3,MEDIUM,LC08,BASELINE,NEW,,,"Baseline CM process"
âšª KNU-00-00-001-PUB-001,KNOT-00-00-001,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Program Glossary DM,DM passes BREX; terms searchable,BREX+CI,STK_PUB,2026-03-31,PLANNED,5,HIGH,LC11,BASELINE,NEW,,,"Baseline glossary publication"
âšª KNU-00-00-001-ANA-002,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Database Platform Selection Analysis,Trade study complete; PostgreSQL 15 vs 16 recommendation approved,Analysis,STK_DATA,2026-02-01,PLANNED,2,MEDIUM,LC05,TBD-00-001,NEW,TBD-00-001,KNU-00-00-001-ICD-001,"Spawned by TBD-00-001 to resolve PostgreSQL version uncertainty"
âšª KNU-00-00-001-ANA-003,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,GraphQL Framework Trade Study,Prototype evaluation; performance benchmarks; Apollo vs Hasura recommendation,Analysis,STK_DATA,2026-02-01,PLANNED,3,MEDIUM,LC05,TBD-00-002,NEW,TBD-00-002,KNU-00-00-001-ICD-001,"Spawned by TBD-00-002; triggers minor API update to ICD-001"
ðŸ”µ KNU-00-00-001-REQ-002,KNOT-00-00-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Term Type Taxonomy Requirements,Taxonomy approved by STK_CM + STK_SE; integrated with schema,Review,STK_CM,2026-02-15,GENERATED,5,HIGH,LC02,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-ICD-001,"Spawned by TBD-00-003 (BLOCKING); triggers cascade:  ICD-001 mod + TEST-001 + PUB-002 + ICD-003"
âšª KNU-00-00-001-TEST-001,KNOT-00-00-001,TEST,SSOT,../LC06_VERIFICATION/,Schema Validation Tests,Test cases cover all term types; 100% pass rate,Test,STK_TEST,2026-02-20,PLANNED,3,HIGH,LC06,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-REQ-002,"Triggered by REQ-002 completion; validates term_type implementation"
âšª KNU-00-00-001-PUB-002,KNOT-00-00-001,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Term Type Usage Guide,DM passes BREX; integrated with AMM; author guidance complete,BREX+CI,STK_CM,2026-03-01,PLANNED,4,MEDIUM,LC11,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-REQ-002,"Triggered by REQ-002; provides CSDB author guidance on term type selection"
âšª KNU-00-00-001-ICD-002,KNOT-00-00-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,CSDB CIR Export Interface Specification,Export spec approved; S1000D schema compliance verified; integration tested,Review,STK_CM,2026-02-15,PLANNED,6,HIGH,LC04,TBD-00-005,NEW,TBD-00-005,KNU-00-00-001-ICD-001,"Spawned by TBD-00-005 (BLOCKING); defines CIR export frequency and format"
âšª KNU-00-00-001-TEST-002,KNOT-00-00-001,TEST,SSOT,../LC06_VERIFICATION/,CIR Export Validation Tests,Export validation passes; S1000D schema compliance verified,Test,STK_TEST,2026-02-28,PLANNED,4,HIGH,LC06,TBD-00-005,NEW,TBD-00-005,KNU-00-00-001-ICD-002,"Triggered by ICD-002; validates CSDB CIR export functionality"
âšª KNU-00-00-001-PLAN-002,KNOT-00-00-001,PLAN,SSOT,../LC08_CONFIGURATION/,CIR Synchronization Plan,Synchronization workflow documented; frequency defined; rollback procedures,Review,STK_CM,2026-03-01,PLANNED,3,MEDIUM,LC08,TBD-00-005,NEW,TBD-00-005,KNU-00-00-001-ICD-002,"Triggered by ICD-002; defines operational CIR sync procedures"
ðŸ”µ KNU-00-00-002-REQ-001,KNOT-00-00-002,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Document Numbering Requirements,Unique ID scheme covers all artifact types,Review,STK_CM,2026-03-15,GENERATED,5,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
âšª KNU-00-00-002-ICD-001,KNOT-00-00-002,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Document ID Grammar Specification,Syntax defined with regex validation rules,Review,STK_DATA,2026-03-31,PLANNED,5,HIGH,LC04,BASELINE,NEW,,,"Baseline ICD"
âšª KNU-00-00-002-ANA-001,KNOT-00-00-002,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Document Volume Projection,Estimated document count per ATA chapter,Review,STK_CM,2026-03-01,PLANNED,2,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
âšª KNU-00-00-002-CM-001,KNOT-00-00-002,CM,SSOT,../LC08_CONFIGURATION/,Version Control Convention Guide,Branching/tagging strategy documented,Review,STK_CM,2026-04-01,PLANNED,3,MEDIUM,LC08,BASELINE,NEW,,,"Baseline CM process"
âšª KNU-00-00-002-PUB-001,KNOT-00-00-002,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,Document Architecture Training DM,Training module for document conventions,BREX+CI,STK_PUB,2026-04-15,PLANNED,5,HIGH,LC13,BASELINE,NEW,,,"Baseline training material"
âšª KNU-00-00-002-PLAN-001,KNOT-00-00-002,PLAN,SSOT,../LC08_CONFIGURATION/,Translation Workflow Plan,Workflow documented; vendor onboarded; SLA defined,Review,STK_DATA,2026-03-01,PLANNED,4,MEDIUM,LC08,TBD-00-004,NEW,TBD-00-004,KNU-00-00-001-ICD-001,"Spawned by TBD-00-004; may spawn new KNOT-00-00-002 (Translation Governance)"
ðŸ”µ KNU-00-00-003-REQ-001,KNOT-00-00-003,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Safety Labeling Requirements,All hazard categories defined with severity mapping,Review,STK_SAF,2026-03-31,GENERATED,8,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
âšª KNU-00-00-003-ICD-001,KNOT-00-00-003,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Hâ‚‚ Hazard Symbol Library,Vector symbols for all Hâ‚‚-specific hazards,Review,STK_SAF,2026-04-15,PLANNED,5,HIGH,LC04,BASELINE,NEW,,,"Baseline ICD"
âšª KNU-00-00-003-ANA-001,KNOT-00-00-003,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Warning Standards Gap Analysis,Gap analysis vs ISO 7010 and aerospace standards,Review,STK_SAF,2026-03-15,PLANNED,3,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
âšª KNU-00-00-003-CM-001,KNOT-00-00-003,CM,SSOT,../LC08_CONFIGURATION/,Safety Label Configuration Index,Index of all approved warning/caution/note formats,Review,STK_CM,2026-04-20,PLANNED,3,MEDIUM,LC08,BASELINE,NEW,,,"Baseline CM index"
âšª KNU-00-00-003-PUB-001,KNOT-00-00-003,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Safety Labeling Standard DM,DM with examples for each hazard category,BREX+CI,STK_PUB,2026-04-30,PLANNED,5,HIGH,LC11,BASELINE,NEW,,,"Baseline publication"
ðŸ”µ KNU-00-00-004-REQ-001,KNOT-00-00-004,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Cross-Reference System Requirements,Traceability from req through cert evidence,Review,STK_DATA,2026-04-15,GENERATED,8,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
âšª KNU-00-00-004-ICD-001,KNOT-00-00-004,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Reference Syntax Specification,URI scheme for all artifact types,Review,STK_DATA,2026-04-30,PLANNED,5,HIGH,LC04,BASELINE,NEW,,,"Baseline ICD"
âšª KNU-00-00-004-ANA-001,KNOT-00-00-004,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Traceability Matrix Template,Template with all mandatory trace paths,Review,STK_SE,2026-04-15,PLANNED,3,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
âšª KNU-00-00-004-CM-001,KNOT-00-00-004,CM,SSOT,../LC08_CONFIGURATION/,Reference Integrity Check Process,CI workflow for link validation,Review,STK_DATA,2026-05-01,PLANNED,5,MEDIUM,LC08,BASELINE,NEW,,,"Baseline CM process"
âšª KNU-00-00-004-PUB-001,KNOT-00-00-004,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,Cross-Reference Guide DM,User guide for navigation and traceability,BREX+CI,STK_PUB,2026-05-15,PLANNED,5,HIGH,LC13,BASELINE,NEW,,,"Baseline training material"
ðŸ”µ KNU-00-00-005-REQ-001,KNOT-00-00-005,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Unit System Requirements,Primary/secondary convention defined per domain,Review,STK_SE,2026-02-28,GENERATED,5,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
âšª KNU-00-00-005-ICD-001,KNOT-00-00-005,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Unit Conversion Table Specification,Precision and rounding rules per unit type,Review,STK_SE,2026-03-10,PLANNED,3,HIGH,LC04,BASELINE,NEW,,,"Baseline ICD"
âšª KNU-00-00-005-ANA-001,KNOT-00-00-005,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Hâ‚‚-Specific Unit Analysis,Energy density; flow rate; temperature conventions,Review,STK_SE,2026-02-20,PLANNED,3,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
âšª KNU-00-00-005-PUB-001,KNOT-00-00-005,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Unit Conversion Reference DM,Quick-reference tables for common conversions,BREX+CI,STK_PUB,2026-03-15,PLANNED,3,MEDIUM,LC11,BASELINE,NEW,,,"Baseline publication"
âšª KNU-96-10-001-ICD-002,KNOT-96-10-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,DPP-Terminology Namespace Integration,Namespace collision resolved; integration spec approved,Review,STK_DATA,2026-03-01,PLANNED,8,HIGH,LC04,TBD-00-006,NEW,TBD-00-006,KNU-00-00-001-ICD-001,"Spawned by TBD-00-006 (BLOCKING); cross-KNOT dependency; defines DPP URI patterns"
âšª KNU-96-10-001-ICD-003,KNOT-96-10-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,DPP Term Type Namespace Mapping,Term type namespace mapping complete; collision-free,Review,STK_DATA,2026-02-28,PLANNED,6,HIGH,LC04,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-REQ-002,"Triggered by REQ-002 (cross-KNOT); maps term types to DPP identifiers"
âšª KNU-96-10-001-TEST-001,KNOT-96-10-001,TEST,SSOT,../LC06_VERIFICATION/,DPP Namespace Collision Tests,Namespace collision tests pass; URI resolution verified,Test,STK_TEST,2026-03-10,PLANNED,4,HIGH,LC06,TBD-00-006,NEW,TBD-00-006,KNU-96-10-001-ICD-002,"Triggered by ICD-002; validates DPP-terminology integration"
